Iteration;Dist_previous;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Mean_depth;True_elevation
1785;76.2457185675754;3712.92938316309;723872.19;6817480.89;0;0;0;0;1;0
1785;86.3297550095017;3799.25913817259;723875.9;6817567.14;0;0;0;0;1;0
1785;46.644769267602;3845.90390744019;723878.54;6817613.71;0;0;0;0;1;0
1785;46.5720645877087;3892.4759720279;723879.6;6817660.27;0;0;0;0;1;0
1785;16.7379359547832;3909.21390798269;723884.89;6817676.15;0;0;0;0;1;0
1785;61.9881020841413;3971.20201006683;723917.17;6817729.07;0;0;0;0;1;0
1785;50.821488565064;4022.02349863189;723943.63;6817772.46;0;0;0;0;1;0
1785;54.7197194799894;4076.74321811188;723976.97;6817815.85;0;0;0;0;1;0
1785;29.7480890145777;4106.49130712646;724000.25;6817834.37;0;0;0;0;1;0
1785;36.0017846781587;4142.49309180462;724033.06;6817849.19;0;0;0;0;1;0
1785;39.0133643767386;4181.50645618135;724069.57;6817862.94;0;0;0;0;1;0
1785;58.2217905941103;4239.72824677546;724126.72;6817874.06;0;0;0;0;1;0
1785;26.5071311160681;4266.23537789153;724153.18;6817875.64;0;0;0;0;1;0
1785;41.3549924434028;4307.59037033494;724194.45;6817878.29;0;0;0;0;1;0
1785;36.3034116853665;4343.8937820203;724230.44;6817873.53;0;0;0;0;1;0
1785;46.9749901544931;4390.8687721748;724275.95;6817861.89;0;0;0;0;1;0
1785;39.1811089685755;4430.04988114337;724313.52;6817850.77;0;0;0;0;1;0
1785;9.53252327505718;4439.58240441843;724321.45;6817845.48;0;0;0;0;1;0
1785;43.6540696845866;4483.23647410302;724343.68;6817807.91;0;0;0;0;1;0
1785;21.1640000942337;4504.40047419725;724356.38;6817790.98;0;0;0;0;1;0
1785;41.2216751239706;4545.62214932122;724383.9;6817760.29;0;0;0;0;1;0
1785;19.6474171328122;4565.26956645403;724392.89;6817742.82;0;0;0;0;1;0
1785;17.2320660401652;4582.5016324942;724398.18;6817726.42;0;0;0;0;1;0
1785;21.820930319604;4604.3225628138;724406.65;6817706.31;0;0;0;0;1;0
1785;26.5897818714801;4630.91234468528;724426.23;6817688.32;0;0;0;0;1;0
1785;18.7930013572905;4649.70534604257;724442.11;6817678.27;0;0;0;0;1;0
1785;31.7004684507254;4681.4058144933;724472.8;6817670.33;0;0;0;0;1;0
1785;43.9327895767451;4725.33860407004;724516.72;6817669.27;0;0;0;0;1;0
1785;68.635158628832;4793.97376269887;724584.45;6817680.38;0;0;0;0;1;0
1785;51.7865194815719;4845.76028218044;724635.25;6817690.44;0;0;0;0;1;0
1785;51.2637727835476;4897.02405496399;724686.05;6817697.32;0;0;0;0;1;0
1785;61.4618035856425;4958.48585854963;724747.43;6817700.49;0;0;0;0;1;0
1785;21.2758854104199;4979.76174396005;724768.6;6817698.37;0;0;0;0;1;0
1785;19.9436807035763;4999.70542466363;724787.12;6817690.97;0;0;0;0;1;0
1785;21.6999999999534;5021.40542466358;724808.82;6817690.97;0;0;0;0;1;0
