Iteration;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Max_height;Width;Max_depth
10;38507.1;27201.4;94996.5;0;-0.000652356;-0.595303;0.904792;132.26;1200;50
10;39073;27604.6;95393.6;0;-0.000273668;-1.2559;0.904792;132.26;1200;50
10;39519;28002.6;95594.9;0;0.000222783;-0.91451;0.904792;132.26;1200;50
10;39966.1;28400.2;95799.3;0;0.000549954;-0.121485;0.904792;132.26;1200;50
10;40365.9;28800;95803.8;0;0.000506919;0.595798;0.904792;132.26;1200;50
10;40767;29201.1;95804.7;0;0.000492391;0.763645;0.904792;132.26;1200;50
10;41215.4;29603;95605.9;0;1.23508e-005;1.05725;0.904792;132.26;1200;50
10;41662.6;30001.3;95402.7;0;-0.000383351;0.485181;0.904792;132.26;1200;50
10;42110.4;30400;95198.6;0;-0.000667359;-0.20667;0.904792;132.26;1200;50
10;42558.3;30802.7;95394.5;0;-0.000493323;-0.975218;0.904792;132.26;1200;50
10;43005.5;31202.8;95594.5;0;-0.000241759;-0.985325;0.904792;132.26;1200;50
10;43452.7;31602;95796;0;0.000103332;-0.72568;0.904792;132.26;1200;50
10;43899.9;32000.1;95999.8;0;0.000112569;-0.0515535;0.904792;132.26;1200;50
10;44347.3;32399.8;96200.8;0;0.000111957;0.127963;0.904792;132.26;1200;50
10;44747.2;32799.7;96201.4;0;2.37881e-006;0.225128;0.904792;132.26;1200;50
10;45194.1;33200.4;96399.1;0;0.000382517;-0.148983;0.904792;132.26;1200;50
10;45641.8;33599.5;96602.1;0;0.000586032;0.329929;0.904792;132.26;1200;50
10;46044;34001.7;96604.2;0;0.000650479;0.725292;0.904792;132.26;1200;50
10;46610.2;34404.7;96206.5;0;0.000241894;1.27452;0.904792;132.26;1200;50
10;47056.2;34802.1;96004.1;0;4.54353e-006;0.739015;0.904792;132.26;1200;50
10;47503.4;35200.6;95801.3;0;-8.79596e-005;0.234143;0.904792;132.26;1200;50
10;47950.6;35600.1;95600.1;0;-0.000233264;0.0259769;0.904792;132.26;1200;50
10;48397.8;35999.7;95399.5;0;-0.00058544;-0.0926394;0.904792;132.26;1200;50
10;48846.9;36400;95195.8;0;-0.000753679;-0.661832;0.904792;132.26;1200;50
10;49297.2;36804.3;95394;0;-0.000629827;-1.16716;0.904792;132.26;1200;50
10;49864.1;37205.5;95794.5;0;-0.000269623;-1.23299;0.904792;132.26;1200;50
10;50429.8;37602.9;96197.1;0;6.75243e-005;-0.656744;0.904792;132.26;1200;50
10;50995.4;38000;96600;0;0.000212532;0.00109269;0.904792;132.26;1200;50
10;51442.7;38399.3;96801.3;0;0.00026549;0.235829;0.904792;132.26;1200;50
10;51889.9;38798.8;97002.4;0;0.000200352;0.422423;0.904792;132.26;1200;50
10;52337.6;39199.5;97202;0;0.000234693;0.332347;0.904792;132.26;1200;50
10;52737.3;39599.3;97203;0;5.00514e-006;0.492523;0.904792;132.26;1200;50
10;53184.1;39999.7;97401.1;0;-0.000108229;0.186874;0.904792;132.26;1200;50
